jv.dat Applied Voltage,jv.dat Current density
0.00000000e+00,-1.56937700e+02
2.00000000e-02,1.72274400e+02
4.00000000e-02,1.37276900e+00
6.00000000e-02,-2.16146900e+01
8.00000000e-02,-4.83749800e+01
1.00000000e-01,-7.25312200e+01
1.20000000e-01,-9.06942500e+01
1.40000000e-01,-1.02016300e+02
1.60000000e-01,-1.07612700e+02
1.80000000e-01,-1.09562000e+02
2.00000000e-01,-1.09751600e+02
2.20000000e-01,-1.09106000e+02
2.40000000e-01,-1.07596300e+02
2.60000000e-01,-1.04970100e+02
2.80000000e-01,-1.01433500e+02
3.00000000e-01,-9.75287000e+01
3.20000000e-01,-9.36754200e+01
3.40000000e-01,-8.99507200e+01
3.60000000e-01,-8.62579200e+01
3.80000000e-01,-8.26060500e+01
4.00000000e-01,-7.89420700e+01
4.20000000e-01,-7.52188700e+01
4.40000000e-01,-7.13758700e+01
4.60000000e-01,-6.73114600e+01
4.80000000e-01,-6.28921000e+01
5.00000000e-01,-5.77707800e+01
5.20000000e-01,-5.14507100e+01
5.40000000e-01,-4.27901700e+01
5.60000000e-01,-2.95912900e+01
5.80000000e-01,-7.52990800e+00
6.00000000e-01,3.19191700e+01
6.20000000e-01,1.05725700e+02
6.40000000e-01,2.47974500e+02
6.60000000e-01,5.27649000e+02
6.80000000e-01,1.08529200e+03
7.00000000e-01,2.20875500e+03
7.20000000e-01,4.49029600e+03
7.40000000e-01,9.15307200e+03
7.60000000e-01,1.87307200e+04
7.80000000e-01,3.84821400e+04
8.00000000e-01,7.93308700e+04
8.20000000e-01,1.63934400e+05
8.40000000e-01,3.39046100e+05
8.60000000e-01,7.00028100e+05
8.80000000e-01,1.43720800e+06
